ZipCode;Town;Departement;INSEE;Country
01000;BOURG EN BRESSE;AIN;1053;France
01000;ST DENIS LES BOURG;AIN;1344;France
01000;BROU;AIN;1914;France
01090;AMAREINS;AIN;1003;France
01090;CESSEINS;AIN;1070;France
01090;AMAREINS FRANCHELEINS CES;AIN;1165;France
01090;GENOUILLEUX;AIN;1169;France
01090;GUEREINS;AIN;1183;France
01090;LURCY;AIN;1225;France
01090;MONTCEAUX;AIN;1258;France
01090;MONTMERLE SUR SAONE;AIN;1263;France
01100;APREMONT;AIN;1011;France
01100;ARBENT;AIN;1014;France
01100;BOUVENT;AIN;1055;France
01100;GEOVREISSET;AIN;1171;France
01100;OYONNAX;AIN;1283;France
01100;VEYZIAT;AIN;1440;France
01110;ARANC;AIN;1012;France
01110;BRENOD;AIN;1060;France
01110;CHAMPDOR;AIN;1080;France
01110;CORCELLES;AIN;1119;France
01110;CORLIER;AIN;1121;France
01110;CORMARANCHE EN BUGEY;AIN;1122;France
01110;HAUTEVILLE LOMPNES;AIN;1185;France
01110;HOSTIAS;AIN;1186;France
01110;THEZILLIEU;AIN;1417;France
01120;LA BOISSE;AIN;1049;France
01120;CORDIEUX;AIN;1120;France
01120;DAGNEUX;AIN;1142;France
01120;MONTLUEL;AIN;1262;France
01120;NIEVROZ;AIN;1276;France
01120;PIZAY;AIN;1297;France
01120;STE CROIX;AIN;1342;France
01120;THIL;AIN;1418;France
01120;JAILLEUX;AIN;1906;France
01120;LA LECHERE;AIN;1907;France
01120;RAPAN;AIN;1908;France
01120;CHANES;AIN;1910;France
01130;BELLEYDOUX;AIN;1035;France
01130;CHARIX;AIN;1087;France
01130;ECHALLON;AIN;1152;France
01130;GIRON;AIN;1174;France
01130;LALLEYRIAT;AIN;1204;France
01130;NANTUA;AIN;1269;France
01130;LES NEYROLLES;AIN;1274;France
01130;PLAGNE;AIN;1298;France
01130;LE POIZAT;AIN;1300;France
01130;ST GERMAIN DE JOUX;AIN;1357;France
01140;GARNERANS;AIN;1167;France
01140;ILLIAT;AIN;1188;France
01140;MOGNENEINS;AIN;1252;France
01140;PEYZIEUX SUR SAONE;AIN;1295;France
01140;ST DIDIER SUR CHALARONNE;AIN;1348;France
01140;ST ETIENNE SUR CHALARONNE;AIN;1351;France
01140;THOISSEY;AIN;1420;France
01140;VALEINS;AIN;1428;France
01150;BLYES;AIN;1047;France
01150;CHAZEY SUR AIN;AIN;1099;France
01150;LAGNIEU;AIN;1202;France
01150;LEYMENT;AIN;1213;France
01150;STE JULIE;AIN;1366;France
01150;ST SORLIN EN BUGEY;AIN;1386;France
01150;ST VULBAS;AIN;1390;France
01150;SAULT BRENAZ;AIN;1396;France
01150;SOUCLIN;AIN;1411;France
01150;VAUX EN BUGEY;AIN;1431;France
01150;VILLEBOIS;AIN;1444;France
01160;DRUILLAT;AIN;1151;France
01160;NEUVILLE SUR AIN;AIN;1273;France
01160;PONT D AIN;AIN;1304;France
01160;PRIAY;AIN;1314;France
01160;ST MARTIN DU MONT;AIN;1374;France
01160;LA TRANCLIERE;AIN;1425;France
01160;VARAMBON;AIN;1430;France
01170;CESSY;AIN;1071;France
01170;CHEVRY;AIN;1103;France
01170;CROZET;AIN;1135;France
01170;ECHENEVEX;AIN;1153;France
01170;GEX;AIN;1173;France
01170;MIJOUX;AIN;1247;France
01170;SEGNY;AIN;1399;France
01170;VESANCY;AIN;1436;France
01190;ARBIGNY;AIN;1016;France
01190;BOISSEY;AIN;1050;France
01190;BOZ;AIN;1057;France
01190;CHAVANNES SUR REYSSOUZE;AIN;1094;France
01190;CHEVROUX;AIN;1102;France
01190;GORREVOD;AIN;1175;France
01190;OZAN;AIN;1284;France
01190;PONT DE VAUX;AIN;1305;France
01190;REYSSOUZE;AIN;1323;France
01190;ST BENIGNE;AIN;1337;France
01190;ST ETIENNE SUR REYSSOUZE;AIN;1352;France
01190;SERMOYER;AIN;1402;France
01200;BELLEGARDE SUR VALSERINE;AIN;1033;France
